Apple_x,Apple_y,Apple_p,pole_x,pole_y,pole_p,Top_x,Top_y,Top_p,Bottom_x,Bottom_y,Bottom_p
228.7466707,200.8859086,0.996680915,234.3932872,201.1436248,0.935613751,191.1752572,80.88133311,0.999968886,192.534291,314.8475612,0.849865437
229.3276352,202.0692902,0.997221708,236.3715444,200.7584772,0.978815496,191.2090802,80.84974265,0.999968529,192.5884082,315.2188617,0.88702482
228.9986882,201.7538686,0.997832179,236.7980928,200.8728919,0.988839269,192.6176879,81.20259547,0.999989986,189.2203918,316.7878664,0.997114897
229.2735682,201.7659292,0.997580111,240.4665167,201.5243876,0.988381326,192.4926903,81.04704118,0.999988973,189.3520322,316.6953995,0.997129321
229.3496902,200.8474212,0.999426067,237.7243317,200.3299499,0.996039331,192.7772129,81.04279637,0.999987602,190.4754872,314.8634524,0.998454809
229.2456372,200.9184895,0.999418497,237.755181,200.5292153,0.996275902,192.7413664,80.95219278,0.999987364,190.4760795,314.8262702,0.998445749
229.2483076,199.9669452,0.999753892,241.0203059,201.4531381,0.997665286,193.4556768,81.33359241,0.999983549,189.4224796,314.7603552,0.99937886
229.2355156,199.7111447,0.999768019,241.0153942,201.4012561,0.997669578,193.3736634,81.28259063,0.99998188,189.4520206,314.7482682,0.999380887
228.7756671,199.5524125,0.999874473,241.9082973,201.5278842,0.999037147,193.349468,80.98108459,0.999982536,190.3010726,315.2495074,0.999649286
228.5988693,199.4469397,0.99987781,241.8964267,201.3906739,0.998987556,193.314225,80.84389853,0.999982834,190.2633886,315.1229802,0.999667764
228.2941179,200.4008355,0.999814987,241.5420878,201.4160144,0.998657823,193.1462264,80.66229391,0.999982953,190.2166581,315.1735645,0.999692321
228.3248729,200.4200349,0.999832153,241.517247,201.4441879,0.998513937,192.9994855,80.56399059,0.999981761,190.3296843,315.2199081,0.999689817
228.3435801,201.3061886,0.999610424,234.074674,199.5285575,0.953081608,192.6923242,80.38703394,0.999979854,190.4435778,315.0220845,0.999754965
228.3810599,201.2338614,0.999605,216.4185877,210.8141104,0.941229939,192.7741289,80.3597734,0.999979496,190.4831748,315.1717879,0.999758124
228.5473092,201.5072842,0.999474883,220.0536315,211.4343447,0.891901851,192.6806247,80.39978266,0.99998045,190.4132047,315.1515564,0.999736667
228.477334,201.5699863,0.999429822,219.9424743,211.493188,0.88183856,192.6968503,80.40079594,0.999981165,190.3696847,315.1192163,0.999731541
228.4849532,201.5492225,0.99944371,219.8428652,211.442127,0.881798983,192.7196898,80.40269208,0.999979436,190.3869328,315.0325177,0.999741077
228.2351391,201.8531566,0.999337673,215.8011963,211.6792728,0.826092958,192.6647317,80.3130672,0.999979198,190.4172311,314.9258796,0.999765575
228.3116995,200.9670978,0.999612153,215.3555701,211.7175267,0.833452225,192.4055319,80.37109661,0.999974251,190.3957925,315.239632,0.999699831
228.3195496,201.034585,0.99958688,215.5268478,211.6052761,0.813130379,192.4156389,80.34567809,0.99997443,190.3884258,315.2063105,0.999701023
228.2370224,201.0370159,0.999592602,215.3022399,211.6343544,0.810083151,192.1699939,80.23630333,0.999976635,190.3497334,315.11146,0.999692142
228.2399986,201.0296674,0.999601185,215.4081872,211.5666192,0.826324642,192.1733251,80.1672492,0.999976039,190.4161434,315.1122509,0.999702811
228.2507498,200.9028773,0.999622464,215.678355,211.4893019,0.823592067,191.8566375,80.63749886,0.999977589,190.4629617,315.0524342,0.99969852
228.1396436,200.9160819,0.999601126,215.9044197,211.2649722,0.796074152,191.8849068,80.65611362,0.999978065,190.4033418,315.0022693,0.999704659
228.3114384,201.3739295,0.999603689,221.577119,210.4572238,0.914015174,191.4726443,80.92401171,0.999978423,190.4290795,314.991698,0.999705315
228.1689775,201.2172542,0.999593735,222.1324284,210.0861114,0.940496624,191.548656,80.89861679,0.9999789,190.4359426,314.9647428,0.999722362
228.725158,201.5637884,0.999685287,222.0187805,210.7809935,0.97644639,191.5747228,80.64552474,0.999977469,190.3756976,314.9061477,0.999717832
228.5194861,201.5617795,0.999675632,221.7560064,210.994146,0.970938087,191.5409207,80.71274614,0.999976754,190.3544827,314.8867949,0.999720573
227.3333207,200.739563,0.999729335,222.4464998,211.5002818,0.961011529,192.1353369,80.8980341,0.999965072,190.3462219,314.7945678,0.999707997
