Apple_x,Apple_y,Apple_p,Pole_x,Pole_y,Pole_p,SlotTop_x,SlotTop_y,SlotTop_p,SlotBottom_x,SlotBottom_y,SlotBottom_p
175.37588238716125,205.71148014068604,0.9988455772399902,214.54141688346863,201.08688879013062,0.9998784065246582,107.65803089737892,79.07463455200195,0.9999817609786987,106.59306335449219,318.7933259010315,0.9999696016311646
175.37389588356018,205.78149366378784,0.9987521171569824,216.15778636932373,201.22923374176025,0.9998776316642761,107.76144671440125,79.14085817337036,0.9999803304672241,106.51377534866333,318.733304977417,0.9999728798866272
175.32210183143616,205.76887226104736,0.9987720847129822,214.45428562164307,201.10737895965576,0.9998804330825806,107.71713250875473,79.01373147964478,0.9999791383743286,106.51327705383301,318.7271771430969,0.999972939491272
175.3202202320099,205.83928108215332,0.998641848564148,214.46825313568115,201.1525149345398,0.9998743534088135,107.7320785522461,79.08949899673462,0.9999783039093018,106.50077438354492,318.7849450111389,0.9999750852584839
175.1665825843811,205.7983250617981,0.9988417625427246,216.09737157821655,201.28346705436707,0.9998801350593567,107.74288845062256,78.91716051101685,0.9999779462814331,106.50388097763062,318.70002603530884,0.9999737739562988
175.31468105316162,205.8818016052246,0.9989578723907471,216.1136131286621,201.28593111038208,0.9998827576637268,107.68450736999512,78.770028591156,0.9999754428863525,106.37527513504028,318.5917344093323,0.9999725222587585
175.02426314353943,205.75587129592896,0.9989444613456726,214.38104629516602,201.2698097229004,0.999883770942688,107.66282883286476,78.5815896987915,0.9999743700027466,106.3833818435669,318.62994146347046,0.9999725818634033
174.99070930480957,205.81331777572632,0.9989067912101746,216.07078647613525,201.3116855621338,0.9998844861984253,107.81583063304424,78.78167295455933,0.9999778866767883,106.27051162719727,318.6238007545471,0.9999725818634033
175.50177025794983,205.07520389556885,0.9981145858764648,216.08957147598267,201.370112657547,0.9998825788497925,107.69193485379219,78.80377244949341,0.9999816417694092,106.27398681640625,318.66705894470215,0.9999728202819824
175.7734923362732,205.2761697769165,0.998075008392334,216.1806640625,201.37529587745667,0.9998812675476074,107.8041176199913,78.94109439849854,0.9999817609786987,106.3049521446228,318.6854934692383,0.9999732971191406
177.32221674919128,205.97440767288208,0.9971743226051331,215.96426463127136,201.54918503761292,0.9998819828033447,107.49641537666321,79.36782836914062,0.9999842047691345,106.05670499801636,318.6858081817627,0.9999773502349854
177.14365530014038,205.95142698287964,0.9973788261413574,215.99151921272278,201.41667008399963,0.9998844861984253,107.18270117044449,79.46832418441772,0.999983549118042,106.32140922546387,318.64869451522827,0.9999719858169556
176.04645538330078,207.37124872207642,0.9981784820556641,216.45359802246094,200.36504364013672,0.9998494386672974,107.50512370467186,78.9562816619873,0.9999760985374451,106.23828077316284,319.06214237213135,0.999975860118866
