scorer,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000
bodyparts,left_top,leftt_top,left_top,leftt_bottom,left_bottom,left_bottom,right_top,right_top,right_top,right_bottom,right_bottom,right_bottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
97,333.2829944,152.4856153,0.999603987,330.0022436,405.8058927,0.999830961,515.4826258,151.6921899,0.99986887,511.6852336,405.2242372,0.999776125
98,333.3728566,152.6523671,0.999643922,330.0304025,405.8162535,0.999832034,515.9264085,151.7209957,0.999872565,511.4095411,404.9757794,0.999737501
99,333.3632251,152.6877875,0.999652147,330.0350187,405.8419977,0.999832511,515.6770055,151.3275371,0.999872208,511.2415662,405.0579765,0.999735534
100,333.6216227,152.5785389,0.999646902,330.0950823,405.902711,0.999827445,516.0925517,151.1729834,0.999886632,511.2328439,404.6886485,0.9996984
101,333.5644455,152.7222676,0.999607325,329.9825966,406.0875254,0.9998281,515.9777144,150.9961717,0.999893665,511.3837013,404.9641809,0.999740839
102,333.1892223,153.0843396,0.999554515,330.0368925,406.2028241,0.999826193,515.9754879,151.0102434,0.999893188,511.5906973,404.9461707,0.999705434
103,332.535054,153.2181005,0.999606669,330.1089187,406.3746991,0.999823451,515.9582285,150.9980466,0.999893308,511.6722698,404.8957942,0.99971664
104,332.2214171,153.773396,0.999603748,330.2095342,406.5115483,0.999819756,515.912571,150.7913303,0.999896526,511.1909313,405.1370087,0.999625862
105,331.3496561,154.6255274,0.999460042,331.0421225,408.2724485,0.999769926,515.8061958,151.1777551,0.999894381,512.1625497,404.9231834,0.999687433
106,330.314853,155.3518229,0.999076724,330.9511831,408.0434909,0.999761522,515.5351832,151.0473707,0.999881625,511.7502923,405.5084282,0.999713421
