apple_x,apple_y,apple_p
35.66815969,470.4080164,0.980761766
35.66841832,470.4684579,0.983332694
35.84843501,470.5099816,0.989009261
431.2564793,308.5431651,0.086240798
431.2450662,308.5996287,0.075048596
431.2319889,308.5885922,0.076984048
428.3675372,308.2087359,0.106461912
431.2102795,308.6944211,0.069580078
431.1992497,308.708065,0.069961905
431.2648087,308.6546199,0.067710668
431.2457099,308.6552509,0.072407335
431.3373995,308.5481447,0.06825465
431.3401432,308.4611301,0.090421498
431.3414168,308.4586676,0.092004597
431.2363238,308.4961958,0.102402478
431.2696614,308.5252933,0.10093233
431.2618313,308.3464854,0.130991578
431.2585201,308.3893499,0.114538014
431.2631946,308.389415,0.126591146
431.2205038,308.4363905,0.118124962
431.1990652,308.3650181,0.109628797
431.1775718,308.3436664,0.111800998
431.1641626,308.3234433,0.110272706
431.1390209,308.3347896,0.103634477
431.165112,308.3746443,0.105651438
431.1750112,308.3836972,0.094812691
431.1213741,308.2850048,0.116793573
431.1000886,308.3897794,0.105699301
431.1732597,308.4172164,0.112006903
431.1769166,308.4148855,0.111120462
431.1728988,308.4371139,0.113307714
431.1999516,308.4425992,0.122295916
431.1725302,308.2457605,0.13430956
431.0848188,308.3798582,0.11026758
431.1316514,308.26943,0.120339364
431.183526,308.354683,0.174567699
431.1884604,308.095888,0.220591038
431.1869683,308.0920189,0.21982649
431.062593,308.0168994,0.314051986
431.078845,308.0549757,0.319879532
431.2397852,308.1113091,0.271672457
431.2147255,308.2887958,0.212817639
431.2401652,308.5254472,0.184365034
431.2339668,308.4360832,0.246539354
431.2282047,308.4235094,0.239314824
431.2202034,308.3479113,0.25168103
431.2233195,308.3906368,0.2339046
431.1500635,308.3512571,0.243598908
431.268189,308.4248016,0.244783401
431.2675486,308.4058769,0.250469565
431.3108835,308.4638148,0.246005774
431.3016768,308.4654942,0.250888914
431.4223595,308.4371478,0.27395308
431.4148598,308.4125224,0.279759854
431.5122476,308.4914842,0.257294834
431.5092435,308.3653618,0.272611737
431.5846825,308.4229643,0.286754817
431.5856199,308.436694,0.314647943
431.5883775,308.420685,0.315368146
431.6673141,308.5302759,0.270772755
431.6403198,308.7417466,0.194971323
431.6449046,308.8163096,0.191420883
431.7421408,308.956795,0.149701118
431.5761604,308.9556649,0.154666573
431.7277203,308.7880839,0.134487927
431.8396773,308.5956355,0.145320505
432.1690657,308.5085455,0.147724181
432.1445105,308.5146634,0.157449543
432.0985293,308.4685445,0.155697942
432.083214,308.462367,0.155063093
432.1069355,308.4579712,0.153122455
432.1075082,308.4161248,0.153073072
432.0962083,308.4581557,0.171987414
432.1315916,308.5665035,0.183668613
432.0871632,308.4485536,0.159837484
432.1481338,308.5499251,0.137326837
432.1844475,308.5499925,0.136078596
432.1400204,308.5355445,0.137299776
509.1892325,283.9197692,0.999241233
509.2468191,284.1290159,0.998709798
499.4314962,278.8326013,0.999918699
499.5473057,278.7677784,0.999922872
486.7922812,284.1422955,0.999997437
486.5549018,283.8355712,0.999997675
474.3722802,284.608942,0.999998569
474.3243887,284.6328602,0.999998689
459.8406481,283.3012323,0.999999285
448.22316,283.0060564,0.99999994
