base_x,base_y,base_p,MCP1_x,MCP1_y,MCP1_p,PIP1_x,PIP1_y,PIP1_p,tip1_x,tip1_y,tip1_p,MCP2_x,MCP2_y,MCP2_p,PIP2_x,PIP2_y,PIP2_p,DIP2_x,DIP2_y,DIP2_p,tip2_x,tip2_y,tip2_p
165.1895552,331.4071685,0.000198722,154.2796422,333.1838794,5.89E-05,151.6945724,335.9964228,0.002990752,187.26193,349.9851768,6.25E-05,168.7040358,330.9947917,3.69E-05,156.522247,347.7554913,0.000179052,157.1235523,335.9068661,9.66E-06,186.7657815,155.7018402,9.56E-05
171.4659775,336.8816092,0.000160933,154.5376145,332.9050692,5.79E-05,152.1104863,335.7430973,0.00237003,186.7714608,349.9076527,3.93E-05,168.695668,331.5101508,2.25E-05,156.5855301,347.8273025,0.000117123,157.2727237,336.2648587,8.17E-06,186.7916038,155.59749,8.96E-05
160.4664874,303.7858243,1.48E-05,175.3833652,329.2328587,2.76E-05,155.5345034,316.1340843,2.08E-05,-0.556758881,1.707440615,2.59E-06,156.9969832,306.4542253,1.55E-06,184.3489561,329.8774464,5.16E-06,177.3173954,319.5803418,7.96E-06,172.4369362,332.71072,2.29E-05
160.0289555,303.6466675,2.54E-05,175.17978,329.508168,7.81E-05,155.7676224,316.1328979,6.88E-05,-0.522267818,1.683064461,2.71E-06,158.5588155,312.9433625,4.95E-06,184.1221919,329.2704377,8.11E-06,177.437748,320.1853604,2.09E-05,158.233079,323.4947758,3.77E-05
4.449062258,-0.07169199,2.72E-05,221.7485173,344.5478361,4.26E-06,219.471975,349.0495644,0.000402659,176.9226086,297.2172098,9.24E-05,187.5973148,290.25704,6.65E-06,186.1891848,312.9072466,4.35E-06,-0.7311759,-2.238945484,2.23E-05,267.9866594,0.443161249,2.42E-05
4.439866722,-0.073461533,2.80E-05,189.1392001,328.9534726,3.76E-06,219.1718796,348.4519711,0.000390619,177.3394494,297.3310165,0.000157297,187.7802967,290.0514698,6.17E-06,186.2213265,312.7881291,5.48E-06,-0.737082481,-2.234307289,2.25E-05,3.01037544,-0.748247147,1.52E-05
2.862563372,3.171197832,0.223034412,1.714733839,20.38850436,0.966309071,9.803027391,35.28910524,0.99999553,26.1939292,40.03466558,0.279788941,24.73415136,23.60984993,0.752272487,42.08979654,45.53382742,0.124696851,37.53947651,58.58815944,0.997910142,44.6611616,50.639328,0.125383615
2.942991495,3.136397541,0.209214479,1.710968018,20.46146318,0.962815881,9.898322105,35.26144308,0.999996185,26.3320303,39.98185635,0.287412912,24.90842867,23.56322885,0.779334307,42.03739154,45.38557065,0.203790039,37.46263516,58.68699491,0.997671306,44.61868995,50.59374905,0.079966545
24.0601306,74.9489764,0.002929628,22.07096672,74.77384806,0.999571145,41.83814716,79.49840188,0.999920964,51.04765344,78.98965788,0.900020242,50.57930601,66.2586627,0.996311724,69.53772867,82.44502926,0.978780091,76.97748303,91.26667011,0.937525749,78.77192378,108.8494682,0.130068392
23.96546221,75.10372502,0.003648192,22.49962187,74.67025638,0.999597549,42.0835098,79.57588553,0.999903083,51.27862036,79.00455737,0.890294552,50.61747181,66.10112619,0.996707201,69.83427727,82.43544149,0.972939849,76.87400734,91.22593564,0.926798463,78.88929081,108.8405598,0.131521583
6.955740929,122.2116838,0.314143479,42.14442074,104.1302981,0.999999881,61.28951359,105.9385996,1,71.43964434,109.6721138,0.970296979,56.86533165,86.02085805,0.999958277,89.02761126,98.06504583,0.999979913,101.8869047,105.2374225,0.999645829,101.0130075,117.6975434,0.062809467
