apple_x,apple_y,apple_p
356.5607098,277.0970702,8.46E-05
357.0092751,276.8897102,8.13E-05
357.0435222,276.9332137,0.000103027
356.8672471,276.9610079,9.07E-05
356.9071918,276.9833607,8.24E-05
356.9716365,276.9351728,8.37E-05
341.9503483,276.2935316,8.98E-05
341.875494,276.2899863,8.12E-05
341.8663663,276.2824285,8.04E-05
341.8574895,276.2655992,7.30E-05
341.8513411,276.2196781,7.39E-05
341.8683381,276.2654516,8.43E-05
341.873906,276.2805142,7.27E-05
469.0895623,288.6035094,0.9943766
454.0364308,286.7565432,0.999973476
454.3665593,286.0996983,0.999962568
438.99224,285.2012467,0.999992847
439.1101308,285.1600351,0.999992609
425.1300464,284.5402294,0.999993145
424.944037,284.629918,0.999993622
412.1063039,285.35357,0.999991417
412.0178636,285.2801728,0.999990821
400.7848635,284.277785,0.999999166
400.6043847,284.633804,0.999998987
393.8693519,284.2041133,0.999993563
394.0192156,284.6862006,0.999994457
384.0241628,284.5604143,0.999998331
384.0430465,284.7360673,0.999998152
379.9718885,285.3135443,0.999995589
379.1221409,285.2946572,0.999996185
377.3670783,284.1018641,0.999994278
377.169384,283.5289729,0.999994874
372.5196545,283.479499,0.999998927
370.7829329,282.4189775,0.999998689
369.819633,282.3240275,0.999998569
369.081085,281.9745436,0.99999845
368.3833122,281.9668996,0.999998569
367.7569633,282.2611637,0.999997616
366.7599192,282.4256577,0.99999553
365.9712553,283.1042106,0.999988317
364.9401721,281.9897895,0.999986887
363.9696606,282.3632183,0.99998486
361.8016415,284.1139232,0.999991775
361.4277911,284.1685569,0.999994695
360.0164189,284.3681878,0.999997497
359.7762599,284.0290715,0.999997675
359.859817,284.1878487,0.999997616
359.7114406,284.0223618,0.999997735
359.8129954,284.2608782,0.999997735
359.3625176,283.2558267,0.999998331
358.6014256,283.3493816,0.999997854
358.6012027,283.3402916,0.999997854
358.3701062,282.9713962,0.999998033
358.3667932,282.9702363,0.999997973
358.5136104,283.3528427,0.999998271
358.5001407,283.4035226,0.999998271
358.5697355,283.0979936,0.999998569
357.7556615,282.8002728,0.999998987
357.6368085,284.6643423,0.999998987
357.5369051,284.672623,0.999998927
357.4793808,284.9116487,0.999998629
357.4451151,284.893389,0.999998689
357.3422494,284.4638605,0.999998689
357.3788773,284.5184214,0.999998629
357.6656005,284.6452296,0.99999845
357.7535241,284.7422194,0.99999845
357.8237205,282.287787,0.999997437
357.7981694,282.2712873,0.999997497
358.2187073,278.7066686,0.99999845
358.1955729,278.6198013,0.99999845
358.4446037,277.3600416,0.999999464
358.3931143,277.3444088,0.999999523
355.2237019,277.6489389,0.999999523
355.0544744,277.6863365,0.999999523
354.6090943,276.5470411,0.999999642
354.1542513,276.8676834,0.999999642
353.976167,276.2165053,0.999999702
353.8151536,276.2851751,0.999999702
353.5436461,276.213022,0.999999642
353.5146646,276.2038958,0.999999642
353.169394,277.5769544,0.999999583
353.3431847,279.4772689,0.999999285
353.3266392,279.4443443,0.999999225
353.4491129,280.0088458,0.999998927
353.7648044,280.2332344,0.999998808
351.3129997,281.3697586,0.999997675
352.7086091,277.9817846,0.999999166
352.6914344,277.9435313,0.999999166
352.6082692,277.0794029,0.999998927
352.6011086,277.0647805,0.999998927
351.8861322,273.1803322,0.999999225
351.8112206,273.1786733,0.999999166
347.2105385,270.5121965,0.999994636
347.2035118,270.4255238,0.999994516
344.5009203,269.9749343,0.99999547
344.5034933,269.9640558,0.99999547
337.4105499,266.8942173,0.999999106
338.044786,267.2306558,0.999999225
333.576077,265.3590918,0.999976158
333.5927629,265.367106,0.999977469
318.3564241,268.0346595,0.000110924
318.4506185,267.8615891,0.000162035
274.3457911,212.1742199,0.999987721
274.3325391,212.1758689,0.999988079
247.0608344,150.9736762,0.978253007
175.3427181,74.78634512,0.997003257
175.5456724,74.8942771,0.995453477
175.5037229,74.84131908,0.995337009
340.8892221,277.2557075,0.000215292
340.8417819,277.2409521,0.000192881
340.8388938,277.2055532,0.000211328
340.8379091,277.2048631,0.00021106
340.8341684,277.3272973,0.000190318
340.8352904,277.2624439,0.000200599
340.8442184,277.3342559,0.000199646
340.8455033,277.336942,0.000200123
340.8609385,277.3112953,0.00019902
340.8228058,277.25249,0.000211686
340.8572797,277.3113202,0.000207663
340.8569064,277.3118087,0.000207841
340.8744226,277.2806284,0.000206709
340.8762645,277.2366198,0.000214338
340.8865691,277.217346,0.000210375
340.8805715,277.2240217,0.000213593
340.870941,277.1720126,0.000200719
340.8747168,277.1936413,0.000207275
