base_x,base_y,base_p,MCP1_x,MCP1_y,MCP1_p,PIP1_x,PIP1_y,PIP1_p,tip1_x,tip1_y,tip1_p,MCP2_x,MCP2_y,MCP2_p,PIP2_x,PIP2_y,PIP2_p,DIP2_x,DIP2_y,DIP2_p,tip2_x,tip2_y,tip2_p
5.172389984,232.9782124,0.011823356,11.09843612,243.4291139,0.201948166,12.6678732,243.6313016,0.601424217,25.09743023,246.2006567,0.23038438,14.1796999,214.6957006,0.999947071,45.55097008,205.5326234,0.999962211,59.4228155,211.8673406,0.996947229,65.60223532,213.0494142,0.364039421
5.108834982,232.9075856,0.012127459,11.18468815,243.4299086,0.205653399,12.71365285,243.6306373,0.559810102,25.1663065,246.2358661,0.219760269,14.213552,214.6106958,0.999948382,45.47198057,205.4597169,0.999958217,59.35989922,211.6364819,0.996997774,65.53595781,212.9272234,0.399620324
4.887366235,228.4918326,0.005480766,11.3186906,231.3039966,0.091472298,6.020266771,216.7138238,0.585280716,26.74579859,228.7487116,0.254665345,15.66655588,198.5297289,0.999288082,45.86967587,194.8707511,0.999739528,55.71003985,215.159411,0.981741786,61.51306295,224.4141786,0.667341352
4.878475845,228.3748856,0.005009592,11.56984338,231.2114754,0.07109955,5.812461257,216.6595726,0.557869434,26.55447328,228.7869682,0.240930408,15.8141408,198.3799434,0.998985648,45.62420297,194.5376477,0.99980092,55.11941719,215.0497522,0.97498858,60.87169307,224.6586461,0.485371023
1.529464245,215.6856861,0.002760768,35.46241587,213.0420101,0.058054,43.04848057,213.4023145,0.070078939,45.52131414,212.2527145,0.024094105,13.7240417,190.2766604,0.383825064,39.55498552,180.855587,0.90636003,57.25359082,208.272948,0.996215522,62.97115636,213.1992557,0.654029429
2.059836268,215.9567344,0.003483832,35.58821699,213.4035547,0.060921311,43.07440352,213.4322373,0.0905644,45.87529457,212.4192347,0.026255548,14.66081524,195.3491293,0.285703897,39.32783771,180.3232758,0.747574866,57.29584599,208.1940143,0.995370507,63.00855565,212.876655,0.689488947
76.72628003,205.3038824,0.002042532,35.34157318,208.7273655,0.201836258,54.11006594,208.3756809,0.284738183,29.41047204,216.9440367,0.131979257,25.04268336,173.9393443,0.568407416,48.04938698,174.8204999,0.981174707,68.5519554,196.4839249,0.999957561,72.7800591,207.2666047,0.999680638
59.39963734,199.7961044,0.001689881,34.9415437,208.9329209,0.240032971,54.17251515,208.4541583,0.345751286,29.60101092,216.8483524,0.113233447,25.07388353,174.234235,0.461982012,47.10730624,174.3511817,0.988356948,68.49263728,196.4680011,0.999967813,72.77865291,207.352442,0.999713004
59.32550937,199.7629023,0.008332103,27.62086073,204.3797026,0.443966746,65.4618721,205.4593892,0.651789904,63.78956318,203.5708451,0.0704301,28.43694371,173.4882731,0.853703976,52.11043222,167.4525354,0.937559426,73.65267086,193.8511412,0.9999066,82.78928018,201.2925386,0.999948263
59.26003242,199.6035471,0.007953048,27.58666173,204.3170685,0.376425773,65.43053102,205.4667426,0.652591109,63.76800299,203.4530842,0.080753744,28.48902071,173.2600374,0.758085012,51.58604705,167.3971691,0.88807267,73.44871402,193.8189628,0.99985373,82.48619509,201.2127159,0.999935985
