base_x,base_y,base_p,MCP1_x,MCP1_y,MCP1_p,PIP1_x,PIP1_y,PIP1_p,tip1_x,tip1_y,tip1_p,MCP2_x,MCP2_y,MCP2_p,PIP2_x,PIP2_y,PIP2_p,DIP2_x,DIP2_y,DIP2_p,tip2_x,tip2_y,tip2_p
1.589571714,4.540275514,0.00030756,1.947106838,-1.113325119,0.00033173,0.477432251,-1.046378613,0.000275403,-0.501095772,1.517056227,0.000217438,1.485095263,1.418408871,0.000353366,3.529385924,2.547637224,0.000368655,0.482855558,1.011562109,0.000164032,6.579666615,0.124170303,0.002270371
1.65674305,4.895032942,0.000423104,1.842170238,-1.941073895,0.000447929,0.497545719,-0.749936104,0.000439346,-0.681672096,1.042422533,0.000434279,1.984186172,1.139944315,0.000468791,3.510074735,3.161016762,0.000408113,0.759022951,1.055757523,0.000244737,6.760153055,0.570951939,0.003672421
1.77978158,4.408613265,0.000326604,1.908454657,-0.876658916,0.000363618,0.659669876,-0.973181248,0.000266254,-0.460213184,1.505784988,0.000190109,1.31359148,1.525035381,0.000387251,3.339391649,2.92873776,0.000366271,0.231169939,1.084751129,0.000171959,6.138408422,0.58169198,0.002338618
1.772531509,4.665307999,0.000325412,1.857720375,-0.913209438,0.00039801,0.71041131,-0.810797691,0.000294417,-0.363574982,1.588727474,0.000226676,1.440119982,1.456346512,0.000369608,3.498360217,2.689516783,0.000380248,0.409883976,0.973236322,0.000180513,6.426478863,0.545772076,0.002569765
1.780541182,4.66585964,0.000324786,1.859717846,-0.914216995,0.000395864,0.704872847,-0.817436218,0.000293821,-0.366437912,1.595602512,0.000226051,1.435411692,1.446716309,0.000368804,3.50213027,2.684347034,0.000379235,0.407972097,0.965203285,0.000180334,6.435679436,0.533272028,0.002561569
1.638026237,4.696288168,0.000302643,1.863687992,-0.764994621,0.000381082,0.758238554,-0.742010117,0.000285745,-0.326539993,1.579801798,0.00023827,1.5867939,1.345555782,0.000332355,3.550162822,2.591760635,0.000367224,0.44353199,0.877383709,0.000177771,6.547841549,0.449082851,0.002724499
1.500365257,4.768933475,0.000355899,1.747770548,-1.185315132,0.000440925,0.696689844,-0.796622276,0.000350475,-0.426445961,1.436107159,0.000297129,1.565171242,1.401129484,0.000394106,3.677089781,2.729448557,0.000392079,0.616495848,0.820661068,0.000219822,6.659696579,0.694058418,0.003331631
1.435269833,4.66334486,0.000342816,1.734116554,-1.182961464,0.00040096,0.547957182,-0.835956097,0.000335366,-0.49834013,1.478456497,0.000284225,1.4860425,1.43337369,0.000369877,3.694589645,2.687998056,0.000386655,0.596779108,0.825219631,0.000213146,6.80014658,0.576601505,0.003294349
1.434843779,4.692776382,0.000340551,1.716367483,-1.195412159,0.000400841,0.525999069,-0.814469337,0.000335097,-0.48747921,1.483101606,0.000285834,4.240339458,220.7812083,0.00467205,3.706891924,2.668756485,0.000385612,0.598314047,0.828746796,0.000210822,6.830000639,0.588180065,0.003306478
1.447957754,4.755418777,0.000370532,1.809298992,-1.603693962,0.000451028,0.737730026,-0.499284744,0.000381649,-0.445941925,1.507687092,0.000380903,3.744844019,220.6248094,0.001369566,3.715149075,2.805548072,0.000379682,0.667057753,0.641127348,0.000250816,6.753278971,0.669393063,0.003563792
